0.033038,0.019222,0.023959,0.036643,0.0084726,0.010273,0.16227,0.012427,0.038258,0.023763,0.0098701,0.033013,0.043234,0.26315,0.12693,0.049145,0.020585,0.01486,0.034337,0.04631,0.025429,0.033553,0.010382,0.028874,0.015743,0.036991,0.018314,0.13612,0.014562,0.0033776,0.074237
0.0014248,0,0.0050114,0,0.01177,0.064187,0.054463,0,0.003858,0.0027438,0.0073761,0.002174,0,0.023434,0.033358,0,0,0,0.0025599,0,0.010406,0.0036146,0.021686,0,0.071613,0.0059315,0.0011525,0.0071969,0.0070806,0.0047737,0
0.062584,0.037833,0.057119,0.053683,0.053913,0.087664,0.042312,0.071655,0.075964,0.071946,0.059437,0.08134,0.095321,0.053503,0.059394,0.07022,0.064376,0.055758,0.072618,0.093306,0.063807,0.053339,0.053801,0.081063,0.078828,0.06694,0.060854,0.04604,0.055044,0.03697,0.071784
0.021344,0.015016,0.033027,0.024983,0.016111,0.03394,0.010008,0.021099,0.020418,0.028667,0.028684,0.029891,0.029418,0.0077886,0,0.03092,0.044318,0.018954,0.016623,0.020802,0.024674,0.016084,0.014918,0.051011,0.026163,0.027634,0.019094,0.020582,0.025374,0.016398,0.0026592
0,0.002409,0.0068346,0,0,0,0,0.0014339,0,0.0019207,0.00075577,0.0021473,0,0,0,0.001897,0.0032052,0,0.00073276,0,0.0028401,0.0020693,0,0.00090412,0,7.2898e-05,0,0,0.002559,0.0016761,0
0.0036253,0,0.0061437,0.00081415,0.00033054,0.0014709,0,0.0098487,0,0.016302,0.013753,0.0080596,0.0048129,0.00039814,0,0.055581,0.0098192,0.0080035,0.00055733,0,0.012198,0.015194,0.0076949,0,0.013498,0.0073057,0.0032393,0,0.014315,0.011853,0.011499
0.020051,0.0063252,0.0044361,0.0065777,0.010186,0.02399,0.0025363,0.009526,0.015165,0.0099045,0.0093558,0,0.022204,0,0,0,0.0086727,0.0094755,0.0070111,0.014353,0.011462,0,0,0.0099604,0.014795,0.0025693,0.0076728,0,0.0074236,0.007515,0.033292
0.016482,0,0.015929,0.0641,0.016387,0.031513,0.0072429,0.0050707,0.0059646,0.026762,0.013,0.010396,0.012474,0.028673,0,0,0.021502,0.0051718,0.011795,0.012337,0.024078,0.012614,0.0042305,0.011818,0.022792,0.014892,0.0096695,0.018754,0.011455,0.0099062,0.0012192
0.0031437,0.0049147,0.0044226,0,0.0044906,0.0094138,0,0.0034531,0.00052063,0.0066039,0.0050438,0.0025203,0.00018205,0.0034095,0.011493,0.00083056,0.0037541,0,0,0.002921,0.0051325,0.0092445,0.0013488,0.002782,0.0055267,0,0.0011063,0.0030268,0.0036578,0.0010393,0.001724
0,0.0032125,0.012018,0,0,0.0040957,0,0,0,0.010106,0.0026188,0,0,0,0,0.004465,0.0037383,0,0.0052351,0.011987,0.0019042,0,0.00095368,0.0099092,0.00033131,0.0017063,0.00050123,0,0.0025155,0.00079893,0
0,0,0.0039684,0.013286,0,0.010213,0.009825,0,0,0.0022471,0,0.00096357,0,0,0.01472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4239e-05,0,0.0073366,0.0047695,0,0.007406,0,0.0041834,0,0.013658,0.012006,0.0033714,0.0044089,0,0.0089826,0.0051731,0.008229,0,0,0.0074924,0.011834,0.004564,0.00039384,0.014297,0.0092884,0,0,0.0032633,0.0064117,0.003833,0.0035662
0.015755,0.0074704,0.032928,0.020192,0.013501,0.032685,0.059256,0.021847,0.023259,0.023522,0.032951,0,0.027228,0.018169,0.028163,0.017527,0.032056,0.029539,0.034644,0.018866,0.018626,0.022335,0.019302,0.027248,0.02338,0.010567,0.0059324,0.027933,0.021267,0.012861,0.032942
0.0019903,0.0062474,0.00887,0.0027202,0.013289,0.004554,0,0.011407,0.0036396,0.0074337,0.0068691,0.0031078,0.010287,0.00013604,0.00068289,0.010449,0.0022587,0.013078,0.0024741,0.0092504,0.022217,0.0075636,0.0055489,0.0050608,0.0047313,0.0074226,0.011273,0.0021043,0.015898,0.0069795,0.0022339
0.0024986,0,0.0096431,0.024136,0,0.0054273,0.033984,0.0047755,0.0034537,0.0083619,0.016839,0.002243,0.0025871,0.019421,0.011023,0.001891,0.0074804,0.003705,0,0,0.0021126,0.014769,0.0052141,0.0010261,0.00674,0.00148,0.0072865,0.0063031,0.007236,0,0.0063039
0.010719,0.009441,0.01887,0.015635,0.01695,0.0069674,0.024408,0.0063286,0.002306,0.01157,0.0085345,0.0095366,0.007367,0.015588,0.0061873,0.021029,0.012097,0.012344,0.052963,0.014164,0.01199,0.0047985,0.0062371,0.009397,0.0066506,0.0067605,0.007713,0.0090228,0.0091327,0.019315,0.021989
