219429.7	40383.21	30781.88	349190.7	83384.95	157934.3	107324.2	107912	2114.616	981411.2	816955.2	68095.92	28795.6	58416.33	67339.74	33640.26	104937.1	7033.521	3959.839	14779.48	0	10618.03	29544.4	11080.82	46609.49	526134.4	6028.094	101075.2	264006.1	848269.8	1540846
612.116	73880.88	182.441	3972.708	6184.733	1537.531	9710.906	529.404	0	940.236	888.027	834.833	40.841	3757.103	7445.051	228.542	371.888	4967.33	96.85	239.106	5027.809	0	12.73	20.055	519.669	813.933	46.734	2703.675	1465.541	38697.23	73302.74
12273.02	2615.749	41.606	32208.83	2380.429	11415.78	603.586	45228.06	2004.18	11926.79	17606.35	559.191	1277.349	2553.705	1472.148	3967.576	34982.07	415.113	143.883	781.016	66716.48	2601.15	0	1490.494	6573.751	44778.26	44833.25	6558.788	14603.93	69423.82	118505.7
47000.19	11884.62	3870.693	55935.58	15305.45	6002.34	7752.057	7267.414	3.512	435127.1	24958.65	2820.716	1129.996	4340.628	683.966	2941.894	22851.49	914.62	1723.198	1228.67	61797.46	588.287	1395.679	0	4871.346	228333.3	160.285	25884.95	34764.44	114659	444361.4
15218.66	10300.06	1140.512	4516.186	44618.41	401.929	23663.52	1435.2	0	16816.09	11481.92	114.318	468.785	5703.703	23134.09	217.289	1193.55	1561.468	1330.18	140.101	7503.624	1454.246	19.319	16.646	0	513.622	12.359	4872.075	4187.445	202401.4	201085
115247.3	69785.96	3296.62	224441.1	64804.12	65401.95	40269.02	93505.5	691.126	1175266	92960.55	31806.01	2644.547	13985.35	95429.83	68606.69	131592.9	3355.013	2758.02	21770.41	232781.6	12898.1	65863.74	89448.97	30827.98	0	376.473	57272.79	252305.9	648638.2	909743.3
14240.41	16153.48	2300.19	68982.5	12260.29	19987.61	2519.336	111738.1	24519.18	40326.37	70960.49	3283.045	4695.64	2762.777	3903.703	2335.371	61259.52	1288.427	117.733	2653.016	203208.9	8157.308	75341.63	354.101	6720.053	132726.1	0	14245	11769.79	99598.63	326498.2
63921.9	50300.82	1736.943	14991.51	3529.697	29683.12	17748.93	2176.237	18723.92	35576.57	121365.3	29649.87	5939.822	11415.66	14096.79	693.508	9278.502	521.04	91.636	784.51	16770.08	16801.58	6881.518	0	34368.99	13571.63	5918.817	0	3482.948	226011.6	528089.3
84808.23	71648.91	1711.139	204478.6	153395.8	49450.26	89870.78	81482.3	18131.85	901682.8	214966.4	15499.21	4032.846	134152.1	80960.44	323114.6	182630.1	11287.37	861.21	12072.11	805162.9	54619.24	32268.68	523415.1	225979.6	57557.52	4577.813	107743.3	0	594009.3	1651498
117508.7	130402.9	466.912	650930.4	2595899	629433.3	234961.7	44657.63	50023.94	60094.71	78389.03	79584.74	2035.368	310589.3	815222.4	19096.48	47028.18	63003.54	24067.7	2179570	330887.3	101254.8	4291.76	4560.135	28703.08	54494.74	15967.55	271850.8	46823.38	0	4339457
545022.4	2525469	107333	393177.3	974280.2	179269.8	2287375	266269.5	93438.35	1104227	877498	324337.9	186345	651154.4	832113.9	83499.98	358675	211189.8	95000.61	26917	644348.4	342454.8	26168.01	9333.541	145988.4	272213.8	12588.8	823733.3	388471.4	8173327	0
0	8211.38	0	125393.5	4652.952	4078.284	2713.306	0	0	379.499	563.898	0	0	8.108	0	0	1102.655	5.573	0	2264.687	260.034	0	0	14.259	12546.95	167.075	29.856	0	365.85	37276.76	108191.5
6512.768	0	53.514	8122.11	6435.463	1142.337	5986.656	0	108.206	1125.024	1553.333	489.146	0	13210.87	270827.5	1231.391	1378.135	12673.6	35.638	0	639.377	128989.4	1435.185	83.452	4428.993	2.364	137.471	343.583	4114.053	33276.41	1150935
0	4862.927	0	9619.904	7818.018	2669.69	27150.92	935.527	267.506	5232.472	112707.7	2024.471	3754.605	1475.137	65.101	761.23	10381.44	251.209	282.543	15421.71	14667.4	0	1912.645	129.332	55566.54	638.709	1628.696	34363.86	7574.844	18925.51	1675717
420929.8	219951.8	141.264	0	83118.86	145269	76.781	4.293	7.561	793.075	5368.185	258.831	0	8277.14	7756.16	7.831	1214.849	163.688	6.929	69051.36	607.773	0	7.657	2791.298	49275.94	612.818	2164.269	578.656	645.176	308827.6	2161141
0	45402.08	1901.438	53485.49	0	12447.8	10428.86	354.144	638.4	561.252	315.367	4785.307	0	8079.534	22219.77	107.611	773.205	408.939	30.568	171007.1	225.224	0	695474.9	24635.56	6736.512	3531.76	4555.791	687.151	1063259	964355.8	1559385
9897.258	54936.69	133.194	3405.811	26628.02	0	484.512	1.792	50.774	12.13	489.993	0	0	52.05	0	0	257.705	20.591	0	3430.318	9	10.112	22.033	0	1065.752	54.154	20.863	0	491.361	18020.47	788780
29648.75	618823.4	27.519	145473.9	32601.51	24198.04	0	22.728	11.024	3258.813	1546.033	257.77	0	117924.3	602870.5	35.414	7715.488	13059.91	3818.961	874.51	469.511	10289.17	59.328	10581.92	120590.9	750.295	0.536	6003.538	33143.89	33836.75	1818914
0	21.818	2097.535	162.653	1057.607	0.617	1115.41	0	2227.587	3999.806	21754.09	41.709	7.892	1879.156	0	0	1767.978	29.392	5.027	0	2113.565	0	423108.4	93.473	3591.173	3901.436	18470.35	212.714	75537.34	7049.388	80372.17
0	27988.86	601.167	7337.868	12300.97	29601.85	702.016	44362.32	0	660.107	12185.2	452.725	0	455.342	0	14083.74	552.101	798.726	3.606	520.774	8582.486	16.207	478332.8	37162.12	66.369	12699.32	93878.74	1589.168	475863.3	79496.01	267312.9
2630.842	304028.6	7880.412	227201.4	107499.8	9134.058	55917.79	12483.94	9389.876	0	167303.7	44810.69	11.743	11928.94	432.691	27605.97	28212.24	1569.427	197.646	87983.13	446641.8	89.429	1973797	4676.144	118578.2	68883.74	40289.19	14157.81	1107362	229293.8	8856621
118	245458	88982	521628	247669	118774	37592	22680	28576	155505	0	17408	2732	28205	54182	19674	50198	3640	113	29796	1151084	15	2281670	26627	301220	20666	236858	20939	1478084	155207	1.23E+07
0	164.381	778.665	110.017	91.075	0	376.801	588.245	755.383	3066.361	3353.515	0	11.431	45.22	520.765	0	4908.254	0	0	0	2010.877	0	275.662	0	15871.81	2021.141	21.968	1629.156	5115.491	1752.716	1651318
0	571	5351	74	532	7	11	11	159	1674	11565	248	0	4	1	2	1819	14	0	0	744	0	193	0	114	4	109	201	1245	108	120810
