dgp,eps_pool,beta2,eps_min,eps_max,Delta_eps,eps_pool_ek,beta2_ek,eps_min_ek,eps_max_ek,Delta_eps_ek
Frechet/Pareto,4.999999999999997,-2.0414532888247255e-16,4.9999999999999964,4.999999999999997,8.881784197001252e-16,4.9999999999999964,1.0386145185549797e-15,4.999999999999991,4.999999999999994,2.6645352591003757e-15
Log-normal,3.036323410764835,-0.03843679455016302,2.9957769260878595,3.0726972061812905,0.07692028009343099,1.3399502835103152,-0.38387470728890827,0.9350057474446407,1.7032214727937083,0.7682157253490676
Mixture,4.2599345867773915,0.27565808047570733,3.9990717666212743,4.550722782486721,0.5516510158654468,4.605607899893105,0.2128449549500199,4.404186867328246,4.83013533006653,0.42594846273828413
Truncated,5.00403895602694,-0.0038819297241548486,4.999943957837843,5.007712532849875,0.007768575012032208,5.000001247262483,-2.6148411985738564e-06,4.999998488899829,5.000003721758597,5.232858768522419e-06
