hs2,n_obs,eps_pool,beta2,se_b2,p_b2,Delta_eps,bnd_ek,bnd_mel,sig5,sig10
29,796,.75377357,-.042721368,.036337972,.2397278,.40377748,.11018029,.1461716,0,0
14,585,.76908952,-.10027143,.087200589,.25018755,.94770706,.25860441,.33624747,0,0
27,791,1.2685549,-.067925468,.060567837,.26208466,.64199191,.17518276,.13809632,0,0
81,729,.49413675,-.046304889,.04555029,.30935982,.43764681,.11942234,.24167873,0,0
65,783,.81611639,.058925148,.061975934,.34171876,.55692613,.15197055,.18621185,0,0
61,801,1.0530815,.05390124,.060508914,.37303737,.5094431,.13901368,.13200657,0,0
28,787,.84543091,-.035957325,.041492276,.3861596,.33984768,.092735529,.10969025,0,0
32,788,.95106333,-.024488505,.028814232,.39539438,.23145108,.063156933,.066406652,0,0
94,794,1.08214,.042670295,.051348474,.40597677,.40329474,.11004856,.10169531,0,0
24,677,.89885569,.095955424,.11721493,.41299868,.90691471,.24747325,.27532035,0,0
78,638,1.2176082,-.064991735,.083973512,.43895727,.61426401,.16761655,.13766049,0,0
73,804,.99136746,.03095031,.0413169,.45379958,.29252428,.079822212,.080517277,0,0
2,580,1.2349942,.088524126,.11872391,.45589086,.83667839,.2283076,.18486533,0,0
60,707,1.1355991,-.057894923,.087345339,.50744081,.54718906,.14931355,.13148439,0,0
76,801,1.0203127,.026944863,.041943792,.52061087,.25466713,.069491982,.068108521,0,0
21,799,1.0246693,.024745474,.040713407,.54332232,.2338798,.063819669,.062283184,0,0
55,741,.67580009,.036809158,.060996953,.54620343,.34789872,.094932437,.14047414,0,0
25,788,1.2429146,.024306379,.041016329,.55344719,.22972971,.062687218,.050435662,0,0
87,798,.91311312,-.029118869,.051958587,.57518983,.27521458,.07509885,.082244843,0,0
41,735,.91794443,-.033125561,.060531273,.58420902,.31308347,.085432276,.093069114,0,0
96,793,.8320812,.023910707,.049330465,.62788588,.22599006,.061666764,.074111469,0,0
69,782,.88701838,.019991823,.042764995,.64015579,.18895105,.051559791,.058127079,0,0
88,771,.37280551,.031198405,.069764286,.65473258,.29486912,.080462061,.21582852,0,0
38,793,.84915072,-.011136414,.025246957,.65914118,.10525489,.028721299,.033823561,0,0
45,625,1.3010813,.039311536,.09221895,.66990036,.37154973,.10138618,.077924557,0,0
48,801,1.2425878,-.011605808,.033640109,.73009503,.10969133,.029931888,.024088349,0,0
30,795,.35041434,.016814508,.052913148,.75065517,.15892093,.043365356,.12375451,0,0
50,567,.71984535,.038932618,.13401297,.77142316,.36796841,.10040893,.1394868,0,0
20,778,.99497515,-.012483677,.04486382,.78081501,.11798844,.032195952,.03235855,0,0
43,664,.50056946,-.037318226,.14277548,.79380178,.3527101,.096245341,.19227169,0,0
89,705,.84343302,-.023182977,.10048347,.81753671,.21911198,.059789918,.070888758,0,0
37,663,.63823241,.012732907,.075999685,.86694598,.12034401,.032838728,.051452618,0,0
40,804,.85697263,-.0047231172,.043315317,.91317052,.04464015,.012181127,.014214137,0,0
83,792,.98042744,-.0044530048,.047315098,.92501873,.042087205,.011484494,.011713763,0,0
85,810,.82582855,-.0010567985,.040986031,.97942936,.0099882437,.00272553,.0033003581,0,0
70,795,.994398,-.00011024166,.037837245,.9976753,.0010419399,.00028431808,.00028591981,0,0
